chemical_name,who_class,who_description,ld50_rat_oral_mgkg,who_class_numeric,chemical_name_clean,who_class_valid,is_carcinogen,is_endocrine_disruptor,is_neurotoxin,is_reproductive_toxin,is_pbt,total_hazard_flags,cid,molecularweight,xlogp,tpsa,complexity,hbonddonorcount,hbondacceptorcount,rotatablebondcount,heavyatomcount,charge,name_length,word_count,has_number,has_hyphen,has_parenthesis,special_chars,log_molecularweight,log_ld50,toxicity_weighted
trifluralin,III,Slightly hazardous,5000.0,3,trifluralin,III,0.0,0.0,0.0,0.0,0.0,0.0,5569.0,335.28,5.3,94.9,392.0,0.0,8.0,5.0,23.0,0.0,11,1,0,0,0,0,5.817944146267096,8.517393171418904,11.058772120302688
dicamba,II,Moderately hazardous,757.0,2,dicamba,II,0.0,0.0,0.0,0.0,0.0,0.0,3030.0,221.03,2.2,46.5,198.0,1.0,3.0,2.0,13.0,0.0,7,1,0,0,0,0,5.402812507877485,6.630683385642372,11.058772120302688
brodifacoum,IA,Extremely hazardous,0.3,0,brodifacoum,IA,0.0,0.0,0.0,1.0,1.0,2.0,54680676.0,523.4,7.6,46.5,791.0,1.0,3.0,3.0,35.0,0.0,11,1,0,0,0,0,6.262254751889545,0.262364264467491,0.524728528934982
bromadiolone,IA,Extremely hazardous,1.1,0,bromadiolone,IA,0.0,0.0,0.0,0.0,0.0,0.0,54680085.0,527.4,6.1,66.8,743.0,2.0,4.0,6.0,35.0,0.0,12,1,0,0,0,0,6.26985357264817,0.7419373447293773,11.058772120302688
zinc phosphide,IB,Highly hazardous,40.0,1,zinc phosphide,IB,0.0,0.0,0.0,0.0,0.0,0.0,25113606.0,258.1,3.5,0.0,0.0,0.0,2.0,0.0,5.0,0.0,14,2,0,0,0,1,5.557214087568064,3.713572066704308,11.058772120302688
methyl bromide,IB,Highly hazardous,358.0,1,methyl bromide,IB,0.0,0.0,0.0,0.0,0.0,0.0,6323.0,94.94,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,14,2,0,0,0,1,4.563722996073918,5.883322388488279,11.058772120302688
aluminium phosphide,IA,Extremely hazardous,11.0,0,aluminium phosphide,IA,0.0,0.0,0.0,0.0,0.0,0.0,16126812.0,57.9553,3.5,0.0,0.0,0.0,1.0,0.0,2.0,0.0,19,2,0,0,0,1,4.076779529642608,2.4849066497880004,11.058772120302688
abamectin,IB,Highly hazardous,10.0,1,abamectin,IB,0.0,0.0,1.0,0.0,0.0,1.0,9920327.0,1732.1,4.4,340.0,3430.0,6.0,28.0,15.0,123.0,0.0,9,1,0,0,0,0,7.457666991455329,2.3978952727983707,2.3978952727983707
spinosad,III,Slightly hazardous,3738.0,3,spinosad,III,0.0,0.0,0.0,0.0,0.0,0.0,17754356.0,1477.9,2.8,222.0,2620.0,0.0,22.0,18.0,105.0,0.0,8,1,0,0,0,0,7.299053847172724,8.226573474977114,11.058772120302688
indoxacarb,II,Moderately hazardous,268.0,2,indoxacarb,II,0.0,0.0,0.0,0.0,0.0,0.0,107720.0,527.8,4.8,107.0,912.0,0.0,11.0,5.0,36.0,0.0,10,1,0,0,0,0,6.270610288537476,5.594711379601839,11.058772120302688
emamectin benzoate,IB,Highly hazardous,76.0,1,emamectin benzoate,IB,0.0,0.0,0.0,0.0,0.0,0.0,11650986.0,1008.2,5.0,199.0,1850.0,4.0,16.0,10.0,72.0,0.0,18,2,0,0,0,1,6.916913216766902,4.343805421853684,11.058772120302688
chlorfenapyr,II,Moderately hazardous,441.0,2,chlorfenapyr,II,0.0,0.0,0.0,0.0,0.0,0.0,91778.0,407.61,4.5,38.0,448.0,0.0,5.0,4.0,23.0,0.0,12,1,0,0,0,0,6.012761155897063,6.091309882077698,11.058772120302688
spiromesifen,U,Unlikely hazardous,2500.0,4,spiromesifen,U,0.0,0.0,0.0,0.0,0.0,0.0,9907412.0,370.5,5.1,52.6,621.0,0.0,4.0,5.0,27.0,0.0,12,1,0,0,0,0,5.917548864157814,7.824445930877619,11.058772120302688
lufenuron,U,Unlikely hazardous,2000.0,4,lufenuron,U,0.0,0.0,0.0,0.0,0.0,0.0,71777.0,511.1,6.4,67.4,677.0,2.0,11.0,5.0,32.0,0.0,9,1,0,0,0,0,6.238519918468505,7.601402334583733,11.058772120302688
fenpropathrin,II,Moderately hazardous,70.0,2,fenpropathrin,II,0.0,0.0,0.0,0.0,0.0,0.0,47326.0,349.4,5.7,59.3,553.0,0.0,4.0,6.0,26.0,0.0,13,1,0,0,0,0,5.859075359062237,4.2626798770413155,11.058772120302688
zeta-cypermethrin,II,Moderately hazardous,80.0,2,zeta-cypermethrin,II,0.0,0.0,0.0,0.0,0.0,0.0,12617362.0,416.3,6.0,59.3,643.0,0.0,4.0,7.0,28.0,0.0,17,1,0,1,0,1,6.033805387597507,4.394449154672439,11.058772120302688
fenobucarb,II,Moderately hazardous,623.0,2,fenobucarb,II,0.0,0.0,0.0,0.0,0.0,0.0,19588.0,207.27,2.8,38.3,206.0,1.0,2.0,4.0,15.0,0.0,10,1,0,0,0,0,5.338835314850925,6.436150368369428,11.058772120302688
bendiocarb,IB,Highly hazardous,40.0,1,bendiocarb,IB,0.0,0.0,0.0,0.0,0.0,0.0,2314.0,223.22,1.7,56.8,279.0,1.0,4.0,2.0,16.0,0.0,10,1,0,0,0,0,5.412627712725447,3.713572066704308,11.058772120302688
dinotefuran,U,Unlikely hazardous,2450.0,4,dinotefuran,U,0.0,0.0,0.0,0.0,0.0,0.0,197701.0,202.21,0.0,91.5,225.0,2.0,4.0,4.0,14.0,0.0,11,1,0,0,0,0,5.314239927091852,7.804251383528112,11.058772120302688
nitenpyram,U,Unlikely hazardous,1680.0,4,nitenpyram,U,0.0,0.0,0.0,0.0,0.0,0.0,3034287.0,270.71,2.4,74.0,306.0,1.0,5.0,5.0,18.0,0.0,10,1,0,0,0,0,5.604735321054966,7.427144133408616,11.058772120302688
zineb,U,Unlikely hazardous,5200.0,4,zineb,U,0.0,0.0,0.0,0.0,0.0,0.0,5284484.0,275.8,0.5,90.2,108.0,2.0,4.0,3.0,11.0,0.0,5,1,0,0,0,0,5.623295223743515,8.556606193773073,11.058772120302688
maneb,U,Unlikely hazardous,6750.0,4,maneb,U,0.0,0.0,0.0,0.0,0.0,0.0,3032581.0,265.3,0.5,90.2,108.0,2.0,4.0,3.0,11.0,0.0,5,1,0,0,0,0,5.584623492819887,8.81744592104187,11.058772120302688
trifloxystrobin,U,Unlikely hazardous,5000.0,4,trifloxystrobin,U,0.0,0.0,0.0,0.0,0.0,0.0,11664966.0,408.4,4.9,69.5,607.0,0.0,9.0,8.0,29.0,0.0,15,1,0,0,0,0,6.014692673227189,8.517393171418904,11.058772120302688
imazapyr,U,Unlikely hazardous,5000.0,4,imazapyr,U,0.0,0.0,0.0,0.0,0.0,0.0,54738.0,261.28,1.2,91.7,433.0,2.0,5.0,3.0,19.0,0.0,8,1,0,0,0,0,5.569412635395419,8.517393171418904,11.058772120302688
imazethapyr,U,Unlikely hazardous,5000.0,4,imazethapyr,U,0.0,0.0,0.0,0.0,0.0,0.0,54740.0,289.33,2.0,91.7,475.0,2.0,5.0,4.0,21.0,0.0,11,1,0,0,0,0,5.671018207062228,8.517393171418904,11.058772120302688
fluazifop-butyl,II,Moderately hazardous,3328.0,2,fluazifop-butyl,II,0.0,0.0,0.0,0.0,0.0,0.0,50897.0,383.4,4.5,57.7,453.0,0.0,8.0,9.0,27.0,0.0,15,1,0,1,0,1,5.951683677096137,8.110427237575024,11.058772120302688
metsulfuron-methyl,U,Unlikely hazardous,5000.0,4,metsulfuron-methyl,U,0.0,0.0,0.0,0.0,0.0,0.0,52999.0,381.37,1.5,158.0,609.0,2.0,9.0,6.0,26.0,0.0,18,1,0,1,0,1,5.946388726216891,8.517393171418904,11.058772120302688
hexythiazox,U,Unlikely hazardous,5000.0,4,hexythiazox,U,0.0,0.0,0.0,0.0,0.0,0.0,13218777.0,352.9,4.5,74.7,448.0,1.0,3.0,2.0,23.0,0.0,11,1,0,0,0,0,5.869014387351418,8.517393171418904,11.058772120302688
mirex,IB,Highly hazardous,235.0,1,mirex,IB,1.0,0.0,0.0,1.0,1.0,3.0,16945.0,545.5,5.3,0.0,567.0,0.0,0.0,0.0,22.0,0.0,5,1,0,0,0,0,6.3035343076165935,5.4638318050256105,16.391495415076832
toxaphene,IB,Highly hazardous,80.0,1,toxaphene,IB,1.0,1.0,0.0,1.0,1.0,4.0,39552.5,411.8,4.7,0.0,313.0,0.0,0.0,2.0,18.0,0.0,9,1,0,0,0,0,6.022963214167353,4.394449154672439,17.577796618689757
