cid,molecularformula,molecularweight,smiles,inchikey,iupacname,xlogp,tpsa,complexity,hbonddonorcount,hbondacceptorcount,rotatablebondcount,heavyatomcount,query_name,charge,xlogp_source
3032581.0,C4H6MnN2S4,265.3,C(CNC(=S)[S-])NC(=S)[S-].[Mn+2],YKSNLCVSTHTHJA-UHFFFAOYSA-L,manganese(2+);N-[2-(sulfidocarbothioylamino)ethyl]carbamodithioate,0.5,90.2,108.0,2.0,4.0,3.0,11.0,maneb,0.0,PPDB estimate
3034285.0,C22H17N3O5,403.4,CO/C=C(\C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)/C(=O)OC,WFDXOXNFNRHQEC-GHRIWEEISA-N,methyl (E)-2-[2-[6-(2-cyanophenoxy)pyrimidin-4-yl]oxyphenyl]-3-methoxyprop-2-enoate,3.7,104.0,646.0,0.0,8.0,8.0,30.0,azoxystrobin,,pubchem
11664966.0,C20H19F3N2O4,408.4,C/C(=N\OCC1=CC=CC=C1/C(=N\OC)/C(=O)OC)/C2=CC(=CC=C2)C(F)(F)F,ONCZDRURRATYFI-TVJDWZFNSA-N,methyl (2E)-2-methoxyimino-2-[2-[[(E)-1-[3-(trifluoromethyl)phenyl]ethylideneamino]oxymethyl]phenyl]acetate,4.9,69.5,607.0,0.0,9.0,8.0,29.0,trifloxystrobin,,pubchem
25429.0,C9H9N3O2,191.19,COC(=O)NC1=NC2=CC=CC=C2N1,TWFZGCMQGLPBSX-UHFFFAOYSA-N,methyl N-(1H-benzimidazol-2-yl)carbamate,1.5,67.0,222.0,2.0,3.0,2.0,14.0,carbendazim,,pubchem
28780.0,C14H18N4O3,290.32,CCCCNC(=O)N1C2=CC=CC=C2N=C1NC(=O)OC,RIOXQFHNBCKOKP-UHFFFAOYSA-N,methyl N-[1-(butylcarbamoyl)benzimidazol-2-yl]carbamate,2.1,85.3,377.0,2.0,4.0,5.0,21.0,benomyl,,pubchem
2256.0,C8H14ClN5,215.68,CCNC1=NC(=NC(=N1)Cl)NC(C)C,MXWJVTOOROXGIU-UHFFFAOYSA-N,"6-chloro-4-N-ethyl-2-N-propan-2-yl-1,3,5-triazine-2,4-diamine",2.6,62.7,166.0,2.0,5.0,4.0,14.0,atrazine,,pubchem
1486.0,C8H6Cl2O3,221.03,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O,OVSKIKFHRZPJSS-UHFFFAOYSA-N,"2-(2,4-dichlorophenoxy)acetic acid",2.8,46.5,186.0,1.0,3.0,3.0,13.0,"2,4-D",,pubchem
15939.0,C12H14N2+2,186.25,C[N+]1=CC=C(C=C1)C2=CC=[N+](C=C2)C,INFDPOAKFNIJBF-UHFFFAOYSA-N,1-methyl-4-(1-methylpyridin-1-ium-4-yl)pyridin-1-ium,1.7,7.8,145.0,0.0,0.0,1.0,14.0,paraquat,,pubchem
4169.0,C15H22ClNO2,283.79,CCC1=CC=CC(=C1N(C(C)COC)C(=O)CCl)C,WVQBLGZPHOPPFO-UHFFFAOYSA-N,2-chloro-N-(2-ethyl-6-methylphenyl)-N-(1-methoxypropan-2-yl)acetamide,3.1,29.5,285.0,0.0,2.0,6.0,19.0,metolachlor,,pubchem
2078.0,C14H20ClNO2,269.77,CCC1=C(C(=CC=C1)CC)N(COC)C(=O)CCl,XCSGPAVHZFQHGE-UHFFFAOYSA-N,"2-chloro-N-(2,6-diethylphenyl)-N-(methoxymethyl)acetamide",3.5,29.5,248.0,0.0,2.0,6.0,18.0,alachlor,,pubchem
